DATE,DFXARC1M027SBEA
2018-01-01,991.7
2018-02-01,991.9
2018-03-01,995.3
2018-04-01,995.4
2018-05-01,1006.1
2018-06-01,1000.0
2018-07-01,1006.8
2018-08-01,1008.8
2018-09-01,1008.4
2018-10-01,1012.3
2018-11-01,1018.9
2018-12-01,1005.3
